[[[(('h', 8), '*OWDY')], [(('e', 10), 'R(A)ZE')], [(('h', 12), '(Y)IP')], [(('b', 13), 'MOV(E)')], [(('c', 6), 'GU(Y)')]], [[(('d', 11), 'FAME(D)')], [(('d', 8), 'CRIE(*)')], [(('j', 12), '(P)I'), (('i', 12), '(I)T'), (('i', 13), 'TIGHT')], [(('e', 3), 'GRAYE(R)')]]]

         53669542 function calls (53669385 primitive calls) in 13.918 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     13/6    0.000    0.000    0.001    0.000 sre_parse.py:370(_parse_sub)
        1    0.000    0.000    0.001    0.001 encoder.py:2(<module>)
     15/6    0.000    0.000    0.001    0.000 sre_parse.py:448(_parse)
        1    0.000    0.000    0.001    0.001 scrabble_recover.py:69(boards_are_equivalent)
        6    0.000    0.000    0.001    0.000 sre_compile.py:548(_code)
        2    0.000    0.000    0.001    0.000 scrabble_board.py:74(__repr__)
       13    0.000    0.000    0.001    0.000 scrabble_game.py:425(_get_new_player_rack_list)
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:654(_compile_bytecode)
       20    0.000    0.000    0.001    0.000 scrabble_recover.py:55(get_all_board_tiles)
     1481    0.001    0.000    0.001    0.000 scrabble_game.py:53(increment_letter)
        9    0.001    0.000    0.001    0.000 {built-in method loads}
      182    0.000    0.000    0.001    0.000 scrabble_game.py:438(_draw_random_tile)
     1407    0.000    0.000    0.001    0.000 scrabble_game.py:50(decrement_letter)
       19    0.000    0.000    0.001    0.000 scrabble_game.py:120(move_is_sublist)
      508    0.001    0.000    0.001    0.000 scrabble_recover.py:56(<genexpr>)
      663    0.000    0.000    0.001    0.000 scrabble_game.py:250(<lambda>)
      180    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:50(_path_join)
     26/6    0.000    0.000    0.001    0.000 sre_compile.py:70(_compile)
       38    0.000    0.000    0.000    0.000 __init__.py:448(__init__)
      589    0.000    0.000    0.000    0.000 scrabble_game.py:252(<lambda>)
